subject_code,chapter_code,kp_code,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,answer,answer_points,analysis,score,difficulty,exam_year,source_type,source_name,source_license,tags,case_group_id,material,media_urls
SW-SZ,SZ-01,,single,【探针】第 22 题：关于市政公用工程施工管理，下列说法正确的是？,A-22 未经验收即投入使用,B-22 先验收合格再进入下道工序,C-22 口头交底代替书面交底,,,,B,,第 22 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 23 题：关于市政公用工程施工管理，下列说法正确的是？,A-23 未经验收即投入使用,B-23 先验收合格再进入下道工序,C-23 口头交底代替书面交底,,,,B,,第 23 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 24 题：关于市政公用工程施工管理，下列说法正确的是？,A-24 未经验收即投入使用,B-24 先验收合格再进入下道工序,C-24 口头交底代替书面交底,,,,B,,第 24 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 25 题：关于市政公用工程施工管理，下列说法正确的是？,A-25 未经验收即投入使用,B-25 先验收合格再进入下道工序,C-25 口头交底代替书面交底,,,,B,,第 25 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 26 题：关于市政公用工程施工管理，下列说法正确的是？,A-26 未经验收即投入使用,B-26 先验收合格再进入下道工序,C-26 口头交底代替书面交底,,,,B,,第 26 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 27 题：关于市政公用工程施工管理，下列说法正确的是？,A-27 未经验收即投入使用,B-27 先验收合格再进入下道工序,C-27 口头交底代替书面交底,,,,B,,第 27 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 28 题：关于市政公用工程施工管理，下列说法正确的是？,A-28 未经验收即投入使用,B-28 先验收合格再进入下道工序,C-28 口头交底代替书面交底,,,,B,,第 28 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 29 题：关于市政公用工程施工管理，下列说法正确的是？,A-29 未经验收即投入使用,B-29 先验收合格再进入下道工序,C-29 口头交底代替书面交底,,,,B,,第 29 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 30 题：关于市政公用工程施工管理，下列说法正确的是？,A-30 未经验收即投入使用,B-30 先验收合格再进入下道工序,C-30 口头交底代替书面交底,,,,B,,第 30 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 31 题：关于市政公用工程施工管理，下列说法正确的是？,A-31 未经验收即投入使用,B-31 先验收合格再进入下道工序,C-31 口头交底代替书面交底,,,,B,,第 31 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 32 题：关于市政公用工程施工管理，下列说法正确的是？,A-32 未经验收即投入使用,B-32 先验收合格再进入下道工序,C-32 口头交底代替书面交底,,,,B,,第 32 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 33 题：关于市政公用工程施工管理，下列说法正确的是？,A-33 未经验收即投入使用,B-33 先验收合格再进入下道工序,C-33 口头交底代替书面交底,,,,B,,第 33 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 34 题：关于市政公用工程施工管理，下列说法正确的是？,A-34 未经验收即投入使用,B-34 先验收合格再进入下道工序,C-34 口头交底代替书面交底,,,,B,,第 34 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 35 题：关于市政公用工程施工管理，下列说法正确的是？,A-35 未经验收即投入使用,B-35 先验收合格再进入下道工序,C-35 口头交底代替书面交底,,,,B,,第 35 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 36 题：关于市政公用工程施工管理，下列说法正确的是？,A-36 未经验收即投入使用,B-36 先验收合格再进入下道工序,C-36 口头交底代替书面交底,,,,B,,第 36 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 37 题：关于市政公用工程施工管理，下列说法正确的是？,A-37 未经验收即投入使用,B-37 先验收合格再进入下道工序,C-37 口头交底代替书面交底,,,,B,,第 37 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 38 题：关于市政公用工程施工管理，下列说法正确的是？,A-38 未经验收即投入使用,B-38 先验收合格再进入下道工序,C-38 口头交底代替书面交底,,,,B,,第 38 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 39 题：关于市政公用工程施工管理，下列说法正确的是？,A-39 未经验收即投入使用,B-39 先验收合格再进入下道工序,C-39 口头交底代替书面交底,,,,B,,第 39 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 40 题：关于市政公用工程施工管理，下列说法正确的是？,A-40 未经验收即投入使用,B-40 先验收合格再进入下道工序,C-40 口头交底代替书面交底,,,,B,,第 40 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 41 题：关于市政公用工程施工管理，下列说法正确的是？,A-41 未经验收即投入使用,B-41 先验收合格再进入下道工序,C-41 口头交底代替书面交底,,,,B,,第 41 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 42 题：关于市政公用工程施工管理，下列说法正确的是？,A-42 未经验收即投入使用,B-42 先验收合格再进入下道工序,C-42 口头交底代替书面交底,,,,B,,第 42 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 43 题：关于市政公用工程施工管理，下列说法正确的是？,A-43 未经验收即投入使用,B-43 先验收合格再进入下道工序,C-43 口头交底代替书面交底,,,,B,,第 43 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 44 题：关于市政公用工程施工管理，下列说法正确的是？,A-44 未经验收即投入使用,B-44 先验收合格再进入下道工序,C-44 口头交底代替书面交底,,,,B,,第 44 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 45 题：关于市政公用工程施工管理，下列说法正确的是？,A-45 未经验收即投入使用,B-45 先验收合格再进入下道工序,C-45 口头交底代替书面交底,,,,B,,第 45 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 46 题：关于市政公用工程施工管理，下列说法正确的是？,A-46 未经验收即投入使用,B-46 先验收合格再进入下道工序,C-46 口头交底代替书面交底,,,,B,,第 46 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 47 题：关于市政公用工程施工管理，下列说法正确的是？,A-47 未经验收即投入使用,B-47 先验收合格再进入下道工序,C-47 口头交底代替书面交底,,,,B,,第 47 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 48 题：关于市政公用工程施工管理，下列说法正确的是？,A-48 未经验收即投入使用,B-48 先验收合格再进入下道工序,C-48 口头交底代替书面交底,,,,B,,第 48 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 49 题：关于市政公用工程施工管理，下列说法正确的是？,A-49 未经验收即投入使用,B-49 先验收合格再进入下道工序,C-49 口头交底代替书面交底,,,,B,,第 49 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 50 题：关于市政公用工程施工管理，下列说法正确的是？,A-50 未经验收即投入使用,B-50 先验收合格再进入下道工序,C-50 口头交底代替书面交底,,,,B,,第 50 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 51 题：关于市政公用工程施工管理，下列说法正确的是？,A-51 未经验收即投入使用,B-51 先验收合格再进入下道工序,C-51 口头交底代替书面交底,,,,B,,第 51 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 52 题：关于市政公用工程施工管理，下列说法正确的是？,A-52 未经验收即投入使用,B-52 先验收合格再进入下道工序,C-52 口头交底代替书面交底,,,,B,,第 52 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 53 题：关于市政公用工程施工管理，下列说法正确的是？,A-53 未经验收即投入使用,B-53 先验收合格再进入下道工序,C-53 口头交底代替书面交底,,,,B,,第 53 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 54 题：关于市政公用工程施工管理，下列说法正确的是？,A-54 未经验收即投入使用,B-54 先验收合格再进入下道工序,C-54 口头交底代替书面交底,,,,B,,第 54 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 55 题：关于市政公用工程施工管理，下列说法正确的是？,A-55 未经验收即投入使用,B-55 先验收合格再进入下道工序,C-55 口头交底代替书面交底,,,,B,,第 55 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 56 题：关于市政公用工程施工管理，下列说法正确的是？,A-56 未经验收即投入使用,B-56 先验收合格再进入下道工序,C-56 口头交底代替书面交底,,,,B,,第 56 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 57 题：关于市政公用工程施工管理，下列说法正确的是？,A-57 未经验收即投入使用,B-57 先验收合格再进入下道工序,C-57 口头交底代替书面交底,,,,D,,第 57 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 58 题：关于市政公用工程施工管理，下列说法正确的是？,A-58 未经验收即投入使用,B-58 先验收合格再进入下道工序,C-58 口头交底代替书面交底,,,,B,,第 58 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 59 题：关于市政公用工程施工管理，下列说法正确的是？,A-59 未经验收即投入使用,B-59 先验收合格再进入下道工序,C-59 口头交底代替书面交底,,,,B,,第 59 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 60 题：关于市政公用工程施工管理，下列说法正确的是？,A-60 未经验收即投入使用,B-60 先验收合格再进入下道工序,C-60 口头交底代替书面交底,,,,B,,第 60 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 61 题：关于市政公用工程施工管理，下列说法正确的是？,A-61 未经验收即投入使用,B-61 先验收合格再进入下道工序,C-61 口头交底代替书面交底,,,,B,,第 61 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 62 题：关于市政公用工程施工管理，下列说法正确的是？,A-62 未经验收即投入使用,B-62 先验收合格再进入下道工序,C-62 口头交底代替书面交底,,,,B,,第 62 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 63 题：关于市政公用工程施工管理，下列说法正确的是？,A-63 未经验收即投入使用,B-63 先验收合格再进入下道工序,C-63 口头交底代替书面交底,,,,B,,第 63 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 64 题：关于市政公用工程施工管理，下列说法正确的是？,A-64 未经验收即投入使用,B-64 先验收合格再进入下道工序,C-64 口头交底代替书面交底,,,,B,,第 64 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 65 题：关于市政公用工程施工管理，下列说法正确的是？,A-65 未经验收即投入使用,B-65 先验收合格再进入下道工序,C-65 口头交底代替书面交底,,,,B,,第 65 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 66 题：关于市政公用工程施工管理，下列说法正确的是？,A-66 未经验收即投入使用,B-66 先验收合格再进入下道工序,C-66 口头交底代替书面交底,,,,B,,第 66 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 67 题：关于市政公用工程施工管理，下列说法正确的是？,A-67 未经验收即投入使用,B-67 先验收合格再进入下道工序,C-67 口头交底代替书面交底,,,,B,,第 67 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 68 题：关于市政公用工程施工管理，下列说法正确的是？,A-68 未经验收即投入使用,B-68 先验收合格再进入下道工序,C-68 口头交底代替书面交底,,,,B,,第 68 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 69 题：关于市政公用工程施工管理，下列说法正确的是？,A-69 未经验收即投入使用,B-69 先验收合格再进入下道工序,C-69 口头交底代替书面交底,,,,B,,第 69 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 70 题：关于市政公用工程施工管理，下列说法正确的是？,A-70 未经验收即投入使用,B-70 先验收合格再进入下道工序,C-70 口头交底代替书面交底,,,,B,,第 70 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 71 题：关于市政公用工程施工管理，下列说法正确的是？,A-71 未经验收即投入使用,B-71 先验收合格再进入下道工序,C-71 口头交底代替书面交底,,,,B,,第 71 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 72 题：关于市政公用工程施工管理，下列说法正确的是？,A-72 未经验收即投入使用,B-72 先验收合格再进入下道工序,C-72 口头交底代替书面交底,,,,B,,第 72 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 73 题：关于市政公用工程施工管理，下列说法正确的是？,A-73 未经验收即投入使用,B-73 先验收合格再进入下道工序,C-73 口头交底代替书面交底,,,,B,,第 73 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 74 题：关于市政公用工程施工管理，下列说法正确的是？,A-74 未经验收即投入使用,B-74 先验收合格再进入下道工序,C-74 口头交底代替书面交底,,,,B,,第 74 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 75 题：关于市政公用工程施工管理，下列说法正确的是？,A-75 未经验收即投入使用,B-75 先验收合格再进入下道工序,C-75 口头交底代替书面交底,,,,B,,第 75 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 76 题：关于市政公用工程施工管理，下列说法正确的是？,A-76 未经验收即投入使用,B-76 先验收合格再进入下道工序,C-76 口头交底代替书面交底,,,,B,,第 76 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 77 题：关于市政公用工程施工管理，下列说法正确的是？,A-77 未经验收即投入使用,B-77 先验收合格再进入下道工序,C-77 口头交底代替书面交底,,,,B,,第 77 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 78 题：关于市政公用工程施工管理，下列说法正确的是？,A-78 未经验收即投入使用,B-78 先验收合格再进入下道工序,C-78 口头交底代替书面交底,,,,B,,第 78 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 79 题：关于市政公用工程施工管理，下列说法正确的是？,A-79 未经验收即投入使用,B-79 先验收合格再进入下道工序,C-79 口头交底代替书面交底,,,,B,,第 79 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 80 题：关于市政公用工程施工管理，下列说法正确的是？,A-80 未经验收即投入使用,B-80 先验收合格再进入下道工序,C-80 口头交底代替书面交底,,,,B,,第 80 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 81 题：关于市政公用工程施工管理，下列说法正确的是？,A-81 未经验收即投入使用,B-81 先验收合格再进入下道工序,C-81 口头交底代替书面交底,,,,B,,第 81 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 82 题：关于市政公用工程施工管理，下列说法正确的是？,A-82 未经验收即投入使用,B-82 先验收合格再进入下道工序,C-82 口头交底代替书面交底,,,,B,,第 82 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 83 题：关于市政公用工程施工管理，下列说法正确的是？,A-83 未经验收即投入使用,B-83 先验收合格再进入下道工序,C-83 口头交底代替书面交底,,,,B,,第 83 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 84 题：关于市政公用工程施工管理，下列说法正确的是？,A-84 未经验收即投入使用,B-84 先验收合格再进入下道工序,C-84 口头交底代替书面交底,,,,B,,第 84 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 85 题：关于市政公用工程施工管理，下列说法正确的是？,A-85 未经验收即投入使用,B-85 先验收合格再进入下道工序,C-85 口头交底代替书面交底,,,,B,,第 85 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 86 题：关于市政公用工程施工管理，下列说法正确的是？,A-86 未经验收即投入使用,B-86 先验收合格再进入下道工序,C-86 口头交底代替书面交底,,,,B,,第 86 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 87 题：关于市政公用工程施工管理，下列说法正确的是？,A-87 未经验收即投入使用,B-87 先验收合格再进入下道工序,C-87 口头交底代替书面交底,,,,B,,第 87 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 88 题：关于市政公用工程施工管理，下列说法正确的是？,A-88 未经验收即投入使用,B-88 先验收合格再进入下道工序,C-88 口头交底代替书面交底,,,,B,,第 88 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 89 题：关于市政公用工程施工管理，下列说法正确的是？,A-89 未经验收即投入使用,B-89 先验收合格再进入下道工序,C-89 口头交底代替书面交底,,,,B,,第 89 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 90 题：关于市政公用工程施工管理，下列说法正确的是？,A-90 未经验收即投入使用,B-90 先验收合格再进入下道工序,C-90 口头交底代替书面交底,,,,B,,第 90 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
SW-SZ,SZ-01,,single,【探针】第 91 题：关于市政公用工程施工管理，下列说法正确的是？,A-91 未经验收即投入使用,B-91 先验收合格再进入下道工序,C-91 口头交底代替书面交底,,,,B,,第 91 题解析：验收合格是进入下道工序的前置条件，故选 B。,1,3,,self,,,探针|单选题,,,
